tile_name,tile_path,paved_plaza_surface_area,paved_plaza_surface_count,paved_plaza_surface_conf,isolated_walkway_area,isolated_walkway_count,isolated_walkway_conf,meandering_sidewalk_area,meandering_sidewalk_count,meandering_sidewalk_conf,fragmented_sidewalk_area,fragmented_sidewalk_count,fragmented_sidewalk_conf,isolated_roadway_area,isolated_roadway_count,isolated_roadway_conf,vegetated_ground_surface_area,vegetated_ground_surface_count,vegetated_ground_surface_conf,road_marking_surface_area,road_marking_surface_count,road_marking_surface_conf,paved_plaza_surface_area_px,isolated_walkway_area_px,meandering_sidewalk_area_px,fragmented_sidewalk_area_px,isolated_roadway_area_px,vegetated_ground_surface_area_px,road_marking_surface_area_px
158598_193981,tiles_subset/158598_193981.jpg,0.1242,1,0.5056,0.0,0,0.0,0.0,0,0.0,0.1225,1,0.6762,0.1202,1,0.6204,0.6827,1,0.8894,0.0,0,0.0,8139,0,0,8028,7877,44741,0
158598_193982,tiles_subset/158598_193982.jpg,0.7442,1,0.9307,0.1638,1,0.6527,0.0,0,0.0,1.3885,3,2.1039,0.7216,1,0.5967,0.7529,1,0.6512,0.0,0,0.0,48771,10734,0,90996,47290,49342,0
158598_193983,tiles_subset/158598_193983.jpg,0.2944,2,0.6554,0.0,0,0.0,0.0,0,0.0,0.49639999999999995,3,1.6363,0.1407,1,0.565,0.0552,3,0.7256,0.0135,6,0.5648,19293,0,0,32532,9220,3617,884
158598_193984,tiles_subset/158598_193984.jpg,0.3099,1,0.7116,0.0,0,0.0,0.0,0,0.0,0.8070999999999999,3,1.2881,0.2666,2,0.5723,0.0,0,0.0,0.0,0,0.0,20309,0,0,52894,17471,0,0
158598_193985,tiles_subset/158598_193985.jpg,0.0,0,0.0,0.0419,1,0.6409,0.0424,1,0.5918,0.0625,1,0.5749,0.0803,1,0.7762,0.0216,1,0.6055,0.008,1,0.6571,0,2745,2778,4096,5262,1415,524
158598_193986,tiles_subset/158598_193986.jpg,0.1657,1,0.5651,0.0,0,0.0,0.0358,1,0.5812,0.1669,2,0.6398,0.0786,1,0.8641,0.209,3,0.7388,0.0,0,0.0,10859,0,2346,10937,5151,13697,0
158598_193987,tiles_subset/158598_193987.jpg,0.3182,1,0.5005,0.0974,3,0.5593,0.0964,3,0.5342,0.2899,4,0.5726,0.0649,2,0.5113,0.2003,2,0.6115,0.0,0,0.0,20853,6383,6317,18998,4253,13126,0
158598_193988,tiles_subset/158598_193988.jpg,0.4143,2,0.6339,0.0748,1,0.5452,0.0675,1,0.5157,0.5103,3,1.3275000000000001,0.303,2,0.731,0.335,10,0.7276,0.0064,2,0.6209,27151,4902,4423,33443,19857,21954,419
158598_193989,tiles_subset/158598_193989.jpg,0.5217,2,0.5221,0.0309,3,0.6312,0.0312,3,0.5768,0.33899999999999997,6,1.1097000000000001,0.0631,1,0.5726,0.0924,8,0.6004,0.0057,5,0.511,34190,2025,2044,22216,4135,6055,373
158598_193990,tiles_subset/158598_193990.jpg,0.341,1,0.5212,0.0972,1,0.5781,0.094,1,0.5186,0.1055,1,0.6725,0.2108,2,0.6652,0.035,2,0.6869,0.0257,4,0.6697,22347,6370,6160,6914,13814,2293,1684
